ACCEPT	Tamam
ACCE_ABSORB	Bonus Emiþi
ACCE_COMBINE	Kombinasyon
ACCE_MAIN	Kuþak 1
ACCE_RESULT	Sonuç
ACCE_SERVE	Kuþak 2
alsoExportToCharset	windows-1254
ATTACH_METIN_INFO	Zihin taþýný eklemek istiyor musun?
ATTACH_METIN_TITLE	Zihin taþýný ekle
AURA_MAIN	Aura Giysisi
AURA_SUB	Malzeme
AUTO_AUTO_ATTACK	Saldýrý
AUTO_AUTO_POSITION	Pozisyon
AUTO_AUTO_POTION	Ýksirler
AUTO_AUTO_RANGE	Odak
AUTO_AUTO_RESTART	Canlandýrma
AUTO_AUTO_ATTACK_STONE	Sadece metinlere saldýr
AUTO_AUTO_SKILL	Beceriler
AUTO_AUTO_SKILL	Beceriler
AUTO_CLEAR	Temizle
AUTO_END	Durdur
AUTO_OFF	Kapalý
AUTO_ON	Açýk
AUTO_OPTION_ACCEPT	Onayla
AUTO_OPTION_CLEAR	Sýfýrla
AUTO_OPTION_RANGE	Seviye
AUTO_POSITION_SETTING	Pozisyon
AUTO_POTION_SETTING	Ýksirler
AUTO_SAVE	Kaydet
AUTO_SETTING	Ayarlar
AUTO_SKILL_SETTING	Beceriler
AUTO_START	Baþlat
AUTO_TITLE	Otomatik Av
CANCEL	iptal
CHANGE_PASSWORD_CONFIRM	Þifreyi tekrarla
CHANGE_PASSWORD_NEW	Yeni þifre
CHANGE_PASSWORD_OLD	Eski þifre
CHANGE_PASSWORD_TITLE	Þifre Deðiþtir
CHARACTER_ACTION	Duygu
CHARACTER_EMOTICON	Ýfade
CHARACTER_MAIN	Karakter
CHARACTER_MUTUAL_ACTION	Ortak Hareket
CHARACTER_NORMAL_ACTION	Normal Hareket
CHARACTER_QUEST	Görevler
CHARACTER_SKILL	Beceri
CLOSE	Kapat
CREATE_NEXT	Sonraki
CUBE_INFO_TITLE	Arýndýrma Kýlavuzu
CUBE_REQUIRE_MATERIAL	Gerekli malzemeler:
CUBE_REQUIRE_MATERIAL_OR	veya
CUBE_TITLE	Arýndýrma Paneli
DO_REFINE	Arýndýr
EVENT_ALARM_TITLE	Etkinlik genel görünümü
EVENT_NAME_TITLE	Ýsim
EVENT_REWARD_TITLE	Ödül
EXCHANGE_ACCEPT	Kabul
EXCHANGE_TITLE	Ticaret
GAMEOPTION_TITLE	Seçenekler
GAME_EXIT_OBSERVER	Ýzlemeyi Bitir
GAME_GUILD_WAR_JOIN	Lonca savaþýna katýl
GAME_QUEST	Görevler
GAME_SKILL_UP	Becerileri Geliþtir
GAME_STAT_UP	Statü Geliþtir
GRADE	Sýnýf
GRADE_SELECT	Sýnýf
GRAPHICONOFF_DROP_ITEM_APPLY	Uygula
GRAPHICONOFF_DROP_ITEM_LEVEL	Eþya düþürme
GRAPHICONOFF_DROP_ITEM_LEVEL1	1
GRAPHICONOFF_DROP_ITEM_LEVEL1_TOOLTIP	Efekt ve ismi göster
GRAPHICONOFF_DROP_ITEM_LEVEL2	2
GRAPHICONOFF_DROP_ITEM_LEVEL2_TOOLTIP	Efekti gizle
GRAPHICONOFF_DROP_ITEM_LEVEL3	3
GRAPHICONOFF_DROP_ITEM_LEVEL3_TOOLTIP	Efekt ve ismi gizle
GRAPHICONOFF_DROP_ITEM_LEVEL4	4
GRAPHICONOFF_DROP_ITEM_LEVEL4_TOOLTIP	Eþyalarý gizle ve ismi fare ile göster
GRAPHICONOFF_DROP_ITEM_LEVEL5	5
GRAPHICONOFF_DROP_ITEM_LEVEL5_TOOLTIP	Eþyalarý gizle ve ismi gösterme
GRAPHICONOFF_EFFECT_APPLY	Uygula
GRAPHICONOFF_EFFECT_LEVEL	Efektler
GRAPHICONOFF_EFFECT_LEVEL1	1
GRAPHICONOFF_EFFECT_LEVEL1_TOOLTIP	Tümünü göster
GRAPHICONOFF_EFFECT_LEVEL2	2
GRAPHICONOFF_EFFECT_LEVEL2_TOOLTIP	Sadece benimkileri ve canavar efektlerini
GRAPHICONOFF_EFFECT_LEVEL3	3
GRAPHICONOFF_EFFECT_LEVEL3_TOOLTIP	Sadece benimkileri ve diðer oyuncu efektlerini
GRAPHICONOFF_EFFECT_LEVEL4	4
GRAPHICONOFF_EFFECT_LEVEL4_TOOLTIP	Sadece benimkileri göster
GRAPHICONOFF_EFFECT_LEVEL5	5
GRAPHICONOFF_EFFECT_LEVEL5_TOOLTIP	Hiçbirini gösterme
GRAPHICONOFF_NPC_NAME_STATUS	YZK isimleri
GRAPHICONOFF_NPC_NAME_STATUS_OFF	Kapalý
