ACCE_ABSORB_CHANCE	Rata absorbtiei: %d%%
ACCE_ABSORB_COST	Costuri combinatie: %d
ACCE_ALREADY_REGISTER	Acest obiect a fost deja folosit.
ACCE_ABSORB_CHANCE2	Rata absorbtiei: %d%% ~ %d%%
ACCE_DO_YOU_CLEAN	Vrei sa stergi bonusurile de pe aceasta esarfa?
ACCE_FAILURE_CLEAN	Nici un bonus de sters.
ACCE_DEL_ABSORDITEM	Absorbi obiectul, distrugandu-l inaces proces?
ACCE_DEL_SERVEITEM	Esarfa 2 va fi distrusa daca esueaza combinatia.
ACCE_DEL_SERVEITEM2	Esarfa 2 va fi distrusa daca va esua combinatia.
ACCE_INITEM	Trage obiectul in fereastra.
ACCE_MAXGRADE	Acesta a fost deja personalizat.
ACCE_MAX_DRAINRATE	Max. Rata de Absorbtie
ACCE_NOTABSORBITEM	Nu poti folosi o bucata de arma sau armura ce a fost deja absorbita.
ACCE_NOT_SEALITEM	Nu poti folosi niciun obiect personalizat.
ACCE_NOT_USINGITEM	Nu poti combina un obiect echipat.
ACCE_NOT_WINDOWOPEN	Nu poti folosi acest obiect daca fereastra folosita la combinatii este deschisa.
ACCE_POSSIBLE_ACCE	Poti folosi doar Esarfe.
ACCE_POSSIBLE_ACCEITEM	Poti extrage doar bonusurile din arme si armuri.
ACCEPT_WARP_FROM_YOUR_FRIEND_REQUEST	Accepti ca %s sa se teleporteze la tine?
AFF_LOVE_POINT	Punct de dragoste: %d%%
ALIGNMENT_NAME	Puncte de grad:
alsoExportToCharset	windows-1250
ATTACK_ERROR_UNKNOWN	Greseala de atac necunoscuta: %s
ATTENDANCE_REWARD_QUESTION	Doresti sa colectezi recompensa?
ATTR_6TH_7TH_ADD_QUESTION1	Nu poti folosi acest obiect in timp ce se adauga un bonus.
ATTR_6TH_7TH_ADD_QUESTION2	Doresti sa adaugi un bonus?
ATTR_6TH_7TH_CHANGE_FAIL	Nu poti schimba bonusul.
ATTR_6TH_7TH_DESC1	a. Trebuie sa adaugi materialele necesare obiectului pentru a adauga al 6lea si al 7lea bonus.
ATTR_6TH_7TH_DESC2	b. Fiecare marcasita creste rata de succes cu 2%.
ATTR_6TH_7TH_DESC3	c. Foloseste un aditiv pentru a creste rata de succes si mai mult.
ATTR_6TH_7TH_DESC4	d. Dureaza 24 de ore pentru a adauga un bonus. In acest timp, NPC va pastra obiectul pe care ar trebui adaugat bonusul. Imediat ce procesul este complet, il poti recupera.
ATTR_6TH_7TH_POSSIBILITY	Poti adauga un bonus aditional.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Rata de succes: %.1f%%
AURA_CLEAR_CANNOT_USE_SEALED_ITEM	Nu poti schimba statusul unui obiect personalizat.
AURA_CLEAR_QUESTION_WHEN_USE	Doresti sa elimini bonusurile absorbite? Nu pot fi restaurate.
AURA_BOOST_DRAIN_PER	Absorbtie extra +%d%%
AURA_DRAIN_PER	Rata absorbtie %.1f%%
AURA_DRAIN_BOOST_PER	Rata absorbtie %.1f%% (+%d%%)
AURA_EVOLUTION_GOLD	[Aura] Yang insuficient pentru evoluare.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] Obiectul transmis nu poate fi utilizat.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] Obiectele echipate nu pot fi transmise.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] Nu poate fi evoluat.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] Numarul de obiecte nu este suficient pentru evoluare.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] Nu poate fi imbunatatit.
AURA_IMPOSSIBLE_GROWTHITEM2	[Aura] Trebuie sa atasezi materialele.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Doar un Costum Aura, Colier, Cercel sau Banderola pot fi folosite.
AURA_IMPOSSIBLE_REFINEITEM2	[Aura] Doar Costum Aura, Scut, Colier, Cercei si Bratara pot fi folosite.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Obiectele personalizate nu pot fi transmise.
AURA_ITEM_NEED_REGISTER	[Aura] Obiectul trebuie inserat.
AURA_LEVEL_STEP	Nivel %d (Stagiu %d)
AURA_MAX_LEVEL	[Aura] Costumul Aura a ajuns la nivelul maxim.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] Obiectul transmis va fi distrus.
AURA_OPEN_OTHER_WINDOW	Nu poti face asta in timp ce este deschisa o ferestra pentru imbunatatire, evolutie sau transfer de statusuri.
AURA_POSSIBLE_AURAITEM	[Aura] Doar Costum Aura poate fi folosit.
AURA_POSSIBLE_AURARESOURCE	Doar Runa Aura de Gheata si Runa Aura de Foc pot fi folosite.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] Costum Aura trebuie inserat mai intai.
AURA_TITLE_ABSORB	Transmite valorile in Costum Aura.
AURA_TITLE_EVOLUTION	Evolutie Costum Aura
AURA_TITLE_GROWTH	Imbunatatire Costum Aura
AURA_TOOLTIP_EVOLUTION_PER	Șansa: %d%%
AURA_TOOLTIP_EXP	EXP (%d%% / 100%%)
AURA_TOOLTIP_LEVEL	Nivel %d (Stagiu %d) (Rata de absorbtie %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Nou
AURA_TOOLTIP_NOW	Actual
AURA_TOOLTIP_RESOURCE	Consumabile
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_HUNTING_MSG_CANNOT_CHANGE_NON_WEAPON	Nu poti echipa obiectul cand Auto-Atac este activat.
AUTO_HUNTING_MSG_CANNOT_START_WITHOUT_WEAPON	Nu poti activa Auto-Atac in timp ce acest obiect este echipat.
AUTO_HUNTING_OPTION_BOSS	Sef
AUTO_HUNTING_OPTION_KING	Nivelul 5
AUTO_HUNTING_OPTION_KNIGHT	Nivel 3
AUTO_HUNTING_OPTION_PAWN	Nivel 1
AUTO_HUNTING_OPTION_STONE	Piatra Metin
AUTO_HUNTING_OPTION_S_KNIGHT	Nivel 4
AUTO_HUNTING_OPTION_S_PAWN	Nivel 2
AUTO_TOOLTIP_CLEAR	Reseteaza
AUTO_TOOLTIP_LINE1	Abilitati: Alege abilitatile de lupta si trage-le in locurile libere. (Premium)
AUTO_TOOLTIP_LINE2	Indiciu: Poti schimba intervalul de activare (in secunde) sub fiecare abilitate.
AUTO_TOOLTIP_LINE3	Licori: Alege licorile pentru lupta si trage-le in locurile libere. (Premium)
AUTO_TOOLTIP_LINE4	Indiciu: Licorile de PV si PM se vor activa de indata ce nivelul scade sub valoarea % aratata la fiecare licoare.
AUTO_TOOLTIP_LINE5	Nota: utilizarea automata a abilitatilor, licorilor si invierii poate fi activata in magazinul de obiecte.
AUTO_TOOLTIP_LINE6	5. Licorile si obiectele care sunt selectate vor fi consumate automat dupa expirarea beneficiului fara a se afisa durata ramasa.
AUTO_TOOLTIP_LINE7	6. Folosirea sagetii de langa Atac permite determinarea puterii monstrilor pe care ii ataci (+/- niveluri fata de nivelul tau).
AUTO_TOOLTIP_LINE8	7. Folosirea sagetii de langa Focus permite determinarea razei de atac a monstrilor.
AUTO_TOOLTIP_TITLE	Ajutor Atac-Automat
BATTLE_MAP_NAME_AREA_1	Zona 1
BATTLE_MAP_NAME_AREA_2	Zona 2
BATTLE_MAP_NAME_AREA_3	Zona 3
BATTLE_MAP_NAME_AREA_4	Zona 4
BATTLE_MAP_NAME_AREA_5	Zona 5
BATTLE_MAP_NAME_AREA_6	Zona 6
BATTLE_MAP_NAME_AREA_7	Zona 7
BATTLE_MAP_NAME_AREA_8	Zona 8
BATTLE_MAP_NAME_AREA_9	Zona 9
BATTLE_POINT	Puncte de Lupta
BATTLE_ROYALE_ALIVE_COUNT	Supravietuitori: %d
BATTLE_ROYALE_APPLICATION_TITLE	Batalia Roiala
BATTLE_ROYALE_CANNOT_OPEN_MALL	Nu poti deschide asta aici.
BATTLE_ROYALE_KILL_COUNT	Adversarii invinsi: %d
BATTLE_ROYALE_MAINBUTTON_APPLICATION	Participa
BATTLE_ROYALE_MAINBUTTON_CANCEL	Anuleaza
BATTLE_ROYALE_MAINBUTTON_EXIT	Paraseste
BATTLE_ROYALE_MAINBUTTON_STARTABLE	Start
BATTLE_ROYALE_NOTIFY_APPLICATED	Te-ai inregistrat la Batalia Roiala. Poti intra de indata ce s-au inscris suficienti participanti.
BATTLE_ROYALE_NOTIFY_ENTRY_CLOSED	Inregistrarea pentru Batalia Roiala a fost inchisa.
BATTLE_ROYALE_NOTIFY_STARTABLE	Acum poti intra in Batalia Roiala. Apasa pe butonul evenimentului pentru a participa.
BATTLE_ROYALE_NOTIFY_WINNER	Ai castigat.
BATTLE_ROYALE_PERSONAL_RANK	Rang Personal: %d
BATTLE_ROYALE_QUESTION_USE_INFINITE_STAMINA	Doresti sa folosesti Rezistenta Infinita?
BATTLE_ROYALE_WHO_KILLED	Jucatori care te-au omorat: %s
BATTLE_ROYALE_WINNER_1	Ai castigat Batalia Roiala!
BATTLE_ROYALE_WINNER_2	Vei fi teleportat in sat in curand.
BEAD	Animasfera
BEAD_TIME_REMAINING_TO_GET	Animasfera incarcata in: %d min.
BELT_RENEWAL_BANN_SIGN	Nu se poate continua.
